slug,audit_before_rating,new_advisory_review_rating,after_status,action,body_changed,hold_reason
gh-flo-bit-ui-kit,3,,quarantined,refined-held,True,Explicit public-alpha component package with breaking-change warnings; suitable only after a project deliberately selects FoxUI and pins its Svelte/Tailwind-compatible version.
gh-gloomyson-sc-js,3,,quarantined,refined-held,True,The only documented way to make the software functional requires extracting copyrighted assets from a commercial game (or sourcing them from an unofficial third-party site named in the README); this is an unsafe/legally risky operation and is out of scope regardless of the repository's own MIT license.
gh-huakunshen-wol-web,3,,quarantined,refined-held,True,"Go/PocketBase runtime is outside the supported factory builders, and this LAN-administration recipe needs project-specific networking and privilege review."
gh-ippa-jaws,3,,quarantined,refined-held,True,Historical Jaws/ES5 runtime recipe is not a current Phaser 3 or bundler-ready game procedure; retain as a conceptual reference only.
gh-mayooear-ai-pdf-chatbot-langchain,3,,reference-only,archived-recoverably,False,
gh-meteor-svelte-meteor-svelte,3,,reference-only,archived-recoverably,False,
gh-michaelshimeles-nextjs-starter-kit,3,,reference-only,archived-recoverably,False,
gh-moathshraim-nodejs-rest-api-project-structure-express,3,,reference-only,archived-recoverably,False,
gh-nazdridoy-kokoro-tts,3,,reference-only,archived-recoverably,False,
gh-nextjs-saas-starter,3,,reference-only,archived-recoverably,False,
gh-observablehq-framework,3,,reference-only,archived-recoverably,False,
gh-opensas-mdn-svelte-tutorial,3,,reference-only,archived-recoverably,False,
gh-paddlehq-paddle-nextjs-starter-kit,3,,reference-only,archived-recoverably,False,
gh-palewire-first-web-scraper,3,,reference-only,archived-recoverably,False,
gh-pjborowiecki-saasyland-com,3,,reference-only,archived-recoverably,False,
gh-pystorm-streamparse,3,,reference-only,archived-recoverably,False,
gh-radix-ui-primitives,3,,reference-only,archived-recoverably,False,
gh-rbbydotdev-someday,3,,reference-only,archived-recoverably,False,
gh-reduxjs-redux-templates,3,,reference-only,archived-recoverably,False,
gh-reliverse-relivator,3,,reference-only,archived-recoverably,False,
gh-samwarden-user-service,3,,reference-only,archived-recoverably,False,
gh-sangaline-advanced-web-scraping-tutorial,3,,reference-only,archived-recoverably,False,
gh-sayakpaul-ml-deployment-k8s-fastapi,3,,reference-only,archived-recoverably,False,
gh-scrapfly-scrapfly-scrapers,3,,reference-only,archived-recoverably,False,
gh-sghall-resonance,3,,reference-only,archived-recoverably,False,
gh-stoatchat-for-legacy-web,3,,reference-only,archived-recoverably,False,
gh-suchipi-hex-engine,3,,reference-only,archived-recoverably,False,
gh-telegram-mini-apps-reactjs-template,3,,reference-only,archived-recoverably,False,
gh-transitive-bullshit-create-react-library,3,,reference-only,archived-recoverably,False,
gh-vercel-labs-agent-browser,3,,reference-only,archived-recoverably,False,
gh-wassim249-fastapi-langgraph-agent-production-ready-template,3,,reference-only,archived-recoverably,False,
gh-webeetle-windy,3,,reference-only,archived-recoverably,False,
gh-whxaxes-canvas-test,3,,reference-only,archived-recoverably,False,
gh-xmlking-spectacular,3,,reference-only,archived-recoverably,False,
gh-yogijowo-laravel12-react-starterkit,3,,reference-only,archived-recoverably,False,
gh-zuiidea-antd-admin,3,,reference-only,archived-recoverably,False,
idea-refine,3,,active,revised,True,
interview-me,3,,reference-only,archived-recoverably,False,
mcp-server-contract,3,,active,kept,False,
phaser-playable-game-shape,3,,active,kept,False,
static-website-shape,3,,active,kept,False,
won-cli-shape,3,,active,kept,False,
won-nextjs-shape,3,,active,revised,True,
won-python-shape,3,,active,revised,True,
won-tauri-shape,3,,active,kept,False,
agent-persona-pack-contract,2,,active,revised,True,
delivered-empty,2,,reference-only,archived-recoverably,False,
examples,2,,reference-only,archived-recoverably,False,
gh-absadiki-subsai,2,,quarantined,refined-held,True,Source warns of Python 3.12+ compatibility problems and needs selected model/media/GPU dependencies; requires a separately confirmed compatible environment rather than downgrading the factory or installing broad model packs.
gh-aichbauer-express-rest-api-boilerplate,2,,active,curated-promoted,True,
gh-alexflipnote-discord-bot-py,2,,active,curated-promoted,True,
gh-alfinauzikri-ui,2,,active,curated-promoted,True,
gh-alirezamika-autoscraper,2,,active,curated-promoted,True,
gh-amxv-mcp-manager,2,,active,curated-promoted,True,
gh-andregardi-jwt-express-typeorm,2,,quarantined,refined-held,True,"No machine-verified license (GitHub license API: Not Found/404); additionally, the article's actual code listings (routes, middleware, entities, controllers) are embedded as non-visible Medium iframe references rather than plain text, so no safe source-backed code pattern can be extracted beyond the shell-level scaffolding commands."
gh-antoineross-hikari,2,,quarantined,refined-held,True,"The provided README contains no install, clone, dependency, or environment-variable setup commands at all; the actual procedure is deferred entirely to an external docs site not included in the source text, so a safe procedure cannot be written without fabricating undocumented steps."
gh-artzub-githubvisualizer,2,,quarantined,refined-held,True,"The entire fetched README is unmodified, generic Create React App boilerplate text with no repository-specific content, and Create React App itself has been deprecated in favor of Vite-based tooling, so recommending it as current guidance would misrepresent best practice."
gh-auth0-developer-hub-auth0-b2b-saas-starter,2,,quarantined,refined-held,True,"Bootstrap changes tenant-wide Auth0 settings and can overwrite configuration; requires a separately approved fresh-tenant operation, not default skill activation."
gh-benny-yahoo-ticker-symbol-downloader,2,,quarantined,refined-held,True,"The tool depends on scraping an undocumented, frequently changing third-party endpoint; its own changelog documents 5+ breaking changes from Yahoo API/HTML changes through 2018, with no commits since to track further changes, so functionality cannot be assumed without live verification, which this task must not perform."
gh-brillout-awesome-react-components,2,,quarantined,refined-held,True,"The source is a curated list of external links plus subjective curation criteria, not an executable procedure; there is no install/build/run instruction anywhere in the text to distill into a reusable step-by-step pattern."
gh-chocomeow-vocard,2,,quarantined,refined-held,True,"The actual setup procedure is deferred entirely to an external documentation site (docs.vocard.xyz) not included in the provided source text; this task must not fetch that external site, and reconstructing setup steps from the feature list alone would mean inventing undocumented commands."
gh-cloud9c-taro,2,,quarantined,refined-held,True,Low-activity Three.js/TARO library-specific example is not a supported React/Phaser factory procedure; retain for conceptual ECS reference rather than dependency adoption.
gh-crinibus-scraper,2,,active,curated-promoted,True,
gh-csnw-d3-compose,2,,quarantined,refined-held,True,"Requires D3 >= 3.0.0 and the discontinued d3.chart library (pre-v4 D3 API), incompatible with modern D3 v6/v7 used in current stacks; its own test setup requires manually patching node_modules/d3.chart.js, an unsafe dependency-editing workaround; last commit 2020-03-31."
gh-d3-d3-hierarchy,2,,quarantined,refined-held,True,"Fetched README snapshot contains only a description paragraph and a bare Resources link list; no install command, import statement, or usage code is present in the pinned source text to turn into a verified procedure."
gh-dalenguyen-rest-api-node-typescript,2,,quarantined,refined-held,True,"No LICENSE file is present in the pinned repository snapshot (license path absent); redistribution/reuse terms cannot be verified, so activation is withheld regardless of procedure completeness."
gh-developit-express-es6-rest-api,2,,quarantined,refined-held,True,Legacy Babel/Express scaffold includes destructive repository-history cleanup and needs an explicit legacy-project migration context; not default modern Node advice.
gh-dicklesworthstone-swiss-army-llama,2,,quarantined,refined-held,True,"No LICENSE file is present in the pinned repository snapshot (license path absent) even though the README text asserts an MIT license; the artifact itself could not be confirmed, so activation is withheld."
gh-donnemartin-dev-setup,2,,quarantined,refined-held,True,Scripts are explicitly scoped by their own README to OS X 10.10 Yosemite / 10.11 El Capitan (both long past end-of-life); last commit 2019-04-13; no evidence in the source that the automation still works against a current macOS release.
gh-ekafyi-johnnydecimal-index-generator,2,,quarantined,refined-held,True,"Documented build scripts (npm run start / npm run build to a static /build directory) match the older Sapper-era Svelte tooling convention, not current SvelteKit + Vite conventions; no Svelte/Sapper version is stated and the project has not updated since mid-2021, before SvelteKit's 1.0 release, so applicability to a modern SvelteKit project is unverified."
gh-end3r-gamedev-canvas-workshop,2,,quarantined,refined-held,True,"The pinned README is only an introduction paragraph plus a link to the lesson list hosted at breakout.enclavegames.com; no lesson code, file structure, or step-by-step instructions are present in the fetched source text itself."
gh-ericjmarti-inventory-hunter,2,,active,curated-promoted,True,
gh-essamamdani-search-result-scraper-markdown,2,,active,curated-promoted,True,
gh-felipeall-transfermarkt-api,2,,active,curated-promoted,True,
gh-flrs-visavail,2,,quarantined,refined-held,True,"The source's own React integration section is explicitly prefaced 'not completely tested,' and the only documented browser integration pattern uses legacy global script-tag includes (D3/Moment/Font Awesome) rather than a package-import pattern compatible with a modern bundler; no verified procedure exists for the current stack."
gh-foalts-foal,2,,quarantined,refined-held,True,Alternate-framework scaffold/installation recipe rather than reusable Express factory guidance; requires an explicit FoalTS framework choice before activation.
gh-formidablelabs-react-game-kit,2,,quarantined,refined-held,True,Repository is explicitly marked Archived by its maintainers ('This project is no longer maintained by Formidable... no longer responding to issues or pull requests unless they relate to security concerns'); per the archived-source rule this is held regardless of documentation completeness. Last real commit 2023-01-04.
gh-freedmand-semantra-python,2,,active,curated-promoted,True,
gh-frontendmasters-api-design-node-v3,2,,quarantined,refined-held,True,"No LICENSE file is present in the pinned snapshot (license absent), and the README's own banner states this repo is 'from an archived version of the course' superseded by a v4 course -- two independent grounds for holding."
gh-geoffrich-svelte-adapter-azure-swa,2,,active,curated-promoted,True,
gh-georgegriff-react-dnd-kit-tailwind-shadcn-ui,2,,quarantined,refined-held,True,"The pinned README names the tech stack and links to demo/developer.md, but the actual setup/run instructions live in developer.md, which is not included in this source snapshot; no install command or file structure is present in the fetched text."
gh-hfrost0-bilix,2,,active,curated-promoted,True,
gh-hoangsonww-claude-code-agent-monitor,2,,active,curated-promoted,True,
gh-huginn-huginn,2,,quarantined,refined-held,True,"Huginn is a Ruby platform installation/administration recipe, not a supported generic factory runtime; keep as an architectural reference."
gh-inkonchain-ink-kit,2,,reference-only,archived-recoverably,False,
gh-ixartz-saas-boilerplate,2,,quarantined,refined-held,True,"Template build and database access can automatically apply migrations, alongside external identity setup; requires a project-specific isolated database/provisioning plan before use."
gh-jamesturk-spatula,2,,quarantined,refined-held,True,The README itself states the canonical source has moved to Codeberg and GitHub is only a mirror; the fetched excerpt is a feature-bullet overview with no install command or usage code present to verify.
gh-jazelly-agentic-react,2,,quarantined,refined-held,True,Optional bundler/source-access MCP integration is not provisioned by this skill import; review its source-access boundary and explicitly choose the adapter before activation.
gh-johnpapa-shopathome,2,,quarantined,refined-held,True,"Azure account/deployment runbook and multi-framework reference app; needs an explicitly selected Azure target and API architecture, not default React build advice."
gh-kellyjonbrazil-jc,2,,active,curated-promoted,True,
gh-kinngh-shopify-node-express-mongodb-app,2,,quarantined,refined-held,True,"The actual setup instructions are delegated to docs/SETUP.md, docs/migrations/, and docs/POLARIS_WC.md, none of which are included in this source snapshot; no install/run command is present in the fetched text itself."
gh-larusajs-nextjs-saas-starter,2,,reference-only,archived-recoverably,False,
gh-makerkit-nextjs-saas-starter-kit-lite,2,,reference-only,archived-recoverably,False,
gh-markmarkoh-datamaps,2,,reference-only,archived-recoverably,False,
gh-mehrdadrafiee-recursive-dnd-kanban-board,2,,reference-only,archived-recoverably,False,
gh-metroxe-one-html-page-challenge,2,,reference-only,archived-recoverably,False,
gh-microsoftdocs-mslearn-staticwebapp,2,,reference-only,archived-recoverably,False,
gh-mitallast-diablo-js,2,,reference-only,archived-recoverably,False,
gh-mongodb-developer-mern-stack-example,2,,reference-only,archived-recoverably,False,
gh-moollaza-repo-remover,2,,reference-only,archived-recoverably,False,
gh-msaaddev-new-tailwind-app,2,,reference-only,archived-recoverably,False,
gh-niekes-d3-3d,2,,reference-only,archived-recoverably,False,
gh-noahlh-celestite,2,,reference-only,archived-recoverably,False,
gh-nraiden-cofounder,2,,reference-only,archived-recoverably,False,
gh-observablehq-plot,2,,reference-only,archived-recoverably,False,
gh-openblocks-dev-openblocks,2,,reference-only,archived-recoverably,False,
gh-pablolec-recoverpy,2,,reference-only,archived-recoverably,False,
gh-patmartin-dex,2,,reference-only,archived-recoverably,False,
gh-phaserjs-phaser-ce,2,,reference-only,archived-recoverably,False,
gh-phaserjs-phaser-ce-examples,2,,reference-only,archived-recoverably,False,
gh-plouc-mozaik,2,,reference-only,archived-recoverably,False,
gh-pndurette-gtts,2,,reference-only,archived-recoverably,False,
gh-python-discord-bot,2,,reference-only,archived-recoverably,False,
gh-r74ncom-sandboxels,2,,reference-only,archived-recoverably,False,
gh-reactchartjs-react-chartjs-2,2,,reference-only,archived-recoverably,False,
gh-reactjs-react-docgen,2,,reference-only,archived-recoverably,False,
gh-reecelikesramen-open-webui-desktop,2,,reference-only,archived-recoverably,False,
gh-ritvikb99-dark-fantasy-hack-tool,2,,retired,archived-recoverably,False,
gh-running-elephant-datart,2,,reference-only,archived-recoverably,False,
gh-saas-starter-kit-saas-starter-kit-pro,2,,retired,archived-recoverably,False,
gh-saasbold-saasbold-lite,2,,reference-only,archived-recoverably,False,
gh-salvia-kit-salvia-kit,2,,reference-only,archived-recoverably,False,
gh-sbiermanlytle-iioengine,2,,reference-only,archived-recoverably,False,
gh-scotthmurray-d3-book,2,,reference-only,archived-recoverably,False,
gh-scrapegraphai-scrapecraft,2,,reference-only,archived-recoverably,False,
gh-seek-oss-playroom,2,,reference-only,archived-recoverably,False,
gh-sinan-aydogan-tailadmin-laravel,2,,reference-only,archived-recoverably,False,
gh-skernelx-tavily-key-generator,2,,retired,archived-recoverably,False,
gh-sp00kyskelet0n-discordrat,2,,retired,archived-recoverably,False,
gh-sthphoenix-insightface-rest,2,,reference-only,archived-recoverably,False,
gh-themesberg-tailwind-figma-ui-kit,2,,reference-only,archived-recoverably,False,
gh-ther1d-shell-gpt,2,,reference-only,archived-recoverably,False,
gh-tokusumi-fastapi-cloudauth,2,,reference-only,archived-recoverably,False,
gh-tutu-zzz-zhilv-yuntu,2,,reference-only,archived-recoverably,False,
gh-uber-baseweb,2,,reference-only,archived-recoverably,False,
gh-undercode99-jakarta-lte,2,,reference-only,archived-recoverably,False,
gh-vitejs-vite-plugin-react-pages,2,,reference-only,archived-recoverably,False,
gh-vsamarth-sveltestack,2,,reference-only,archived-recoverably,False,
gh-wshobson-agents,2,,reference-only,archived-recoverably,False,
won-react-shape,2,,active,revised,True,
gh-0wczar-airframe-react,1,,retired,archived-recoverably,False,
gh-1panel-dev-maxkb,1,,retired,archived-recoverably,False,
gh-aapatre-automatic-udemy-course-enroller-get-paid-udemy-courses-for-free,1,,retired,archived-recoverably,False,
gh-abhimishra91-insight,1,,retired,archived-recoverably,False,
gh-activepieces-activepieces,1,,retired,archived-recoverably,False,
gh-adamjanes-udemy-d3,1,,retired,archived-recoverably,False,
gh-aden-hive-hive,1,,retired,archived-recoverably,False,
gh-adrianhajdin-project-syncfusion-dashboard,1,,retired,archived-recoverably,False,
gh-adrianhajdin-saas-template,1,,retired,archived-recoverably,False,
gh-ajnart-homarr,1,,retired,archived-recoverably,False,
gh-alexflipnote-givemebadge,1,,retired,archived-recoverably,False,
gh-alibaba-fusion-next,1,,retired,archived-recoverably,False,
gh-alibaba-ice,1,,retired,archived-recoverably,False,
gh-ansible-ansible,1,,retired,archived-recoverably,False,
gh-ant-design-ant-design-pro,1,,retired,archived-recoverably,False,
gh-apify-crawlee-python,1,,retired,archived-recoverably,False,
gh-apocas-restai,1,,retired,archived-recoverably,False,
gh-appsmithorg-appsmith,1,,retired,archived-recoverably,False,
gh-appu1232-discord-selfbot,1,,retired,archived-recoverably,False,
gh-arco-design-arco-design,1,,retired,archived-recoverably,False,
gh-aribudin-tailmater,1,,retired,archived-recoverably,False,
gh-assafelovic-gpt-researcher,1,,retired,archived-recoverably,False,
gh-astraadev-discord-all-tools-in-one,1,,retired,archived-recoverably,False,
gh-astrbotdevs-astrbot,1,,retired,archived-recoverably,False,
gh-aws-aws-sam-cli,1,,retired,archived-recoverably,False,
gh-axaq-traviso-js,1,,retired,archived-recoverably,False,
gh-betastreetomnis-xhs-ai-publisher,1,,retired,archived-recoverably,False,
gh-bezkoder-nodejs-express-sequelize-mysql,1,,retired,archived-recoverably,False,
gh-blazity-next-saas-starter,1,,retired,archived-recoverably,False,
gh-borjapazr-express-typescript-skeleton,1,,retired,archived-recoverably,False,
gh-botpress-botpress,1,,retired,archived-recoverably,False,
gh-boxyhq-saas-starter-kit,1,,retired,archived-recoverably,False,
gh-budibase-budibase,1,,retired,archived-recoverably,False,
gh-bytebot-ai-bytebot,1,,retired,archived-recoverably,False,
gh-bytedance-deer-flow,1,,retired,archived-recoverably,False,
gh-camel-ai-owl,1,,retired,archived-recoverably,False,
gh-can1357-oh-my-pi,1,,retired,archived-recoverably,False,
gh-capsoftware-cap,1,,retired,archived-recoverably,False,
gh-cawa-93-vite-electron-builder,1,,retired,archived-recoverably,False,
gh-cellajs-cella,1,,retired,archived-recoverably,False,
gh-chakra-ui-zag,1,,retired,archived-recoverably,False,
gh-chart-kit-react-native-chart-kit,1,,retired,archived-recoverably,False,
gh-chartbrew-chartbrew,1,,retired,archived-recoverably,False,
gh-chatchat-space-langchain-chatchat,1,,retired,archived-recoverably,False,
gh-cirosantilli-china-dictatorship,1,,retired,archived-recoverably,False,
gh-claudio-silva-claude-artifact-runner,1,,retired,archived-recoverably,False,
gh-coactionjs-coaction,1,,retired,archived-recoverably,False,
gh-codinit-dev-codinit-dev,1,,retired,archived-recoverably,False,
gh-cog-creators-red-discordbot,1,,retired,archived-recoverably,False,
gh-comet-ml-opik,1,,retired,archived-recoverably,False,
gh-coreui-coreui-free-react-admin-template,1,,retired,archived-recoverably,False,
gh-creativetimofficial-material-tailwind,1,,retired,archived-recoverably,False,
gh-creativetimofficial-material-tailwind-kit-react,1,,retired,archived-recoverably,False,
gh-creativetimofficial-notus-angular,1,,retired,archived-recoverably,False,
gh-creativetimofficial-notus-js,1,,retired,archived-recoverably,False,
gh-creativetimofficial-notus-nextjs,1,,retired,archived-recoverably,False,
gh-creativetimofficial-notus-react,1,,retired,archived-recoverably,False,
gh-creativetimofficial-notus-svelte,1,,retired,archived-recoverably,False,
gh-creativetimofficial-vue-notus,1,,retired,archived-recoverably,False,
gh-crisanlucid-primusread,1,,retired,archived-recoverably,False,
gh-d10s0vsky-oss-stack-lifecycle-deployment,1,,retired,archived-recoverably,False,
gh-d3-d3,1,,retired,archived-recoverably,False,
gh-daltonmenezes-electron-app,1,,retired,archived-recoverably,False,
gh-danielfsousa-express-rest-boilerplate,1,,retired,archived-recoverably,False,
gh-danny-avila-librechat,1,,retired,archived-recoverably,False,
gh-darrylyeo-blockhead,1,,retired,archived-recoverably,False,
gh-davellanedam-node-express-mongodb-jwt-rest-api-skeleton,1,,retired,archived-recoverably,False,
gh-davellanedam-vue-skeleton-mvp,1,,retired,archived-recoverably,False,
gh-developmentseed-titiler,1,,retired,archived-recoverably,False,
gh-devias-io-material-kit-react,1,,retired,archived-recoverably,False,
gh-devkiran-nextapi,1,,retired,archived-recoverably,False,
gh-diegohaz-rest,1,,retired,archived-recoverably,False,
gh-digitalocean-sea-notes-saas-starter-kit,1,,retired,archived-recoverably,False,
gh-disnakedev-disnake,1,,retired,archived-recoverably,False,
gh-dogokit-dogokit-beagle,1,,retired,archived-recoverably,False,
gh-donnemartin-gitsome,1,,retired,archived-recoverably,False,
gh-ebhy-budgetml,1,,retired,archived-recoverably,False,
gh-edp963-davinci,1,,retired,archived-recoverably,False,
gh-enescingoz-awesome-n8n-templates,1,,retired,archived-recoverably,False,
gh-erikgartner-dtree,1,,retired,archived-recoverably,False,
gh-evil0ctal-fast-powerful-whisper-ai-services-api,1,,retired,archived-recoverably,False,
gh-feder-cr-jobs-applier-ai-agent-aihawk,1,,retired,archived-recoverably,False,
gh-flowiseai-flowise,1,,retired,archived-recoverably,False,
gh-formidablelabs-victory,1,,retired,archived-recoverably,False,
gh-freeciv-freeciv-web,1,,retired,archived-recoverably,False,
gh-gd4ark-star-battle,1,,retired,archived-recoverably,False,
gh-gethomepage-homepage,1,,retired,archived-recoverably,False,
gh-google-map-react-google-map-react,1,,retired,archived-recoverably,False,
gh-googlecloudplatform-generative-ai,1,,retired,archived-recoverably,False,
gh-googleworkspace-cli,1,,retired,archived-recoverably,False,
gh-gregberge-loadable-components,1,,retired,archived-recoverably,False,
gh-gridstack-gridstack-js,1,,retired,archived-recoverably,False,
gh-guokaigdg-animal-island-ui,1,,retired,archived-recoverably,False,
gh-headroomlabs-ai-headroom,1,,retired,archived-recoverably,False,
gh-hikari-py-hikari,1,,retired,archived-recoverably,False,
gh-huggingface-agents-course,1,,retired,archived-recoverably,False,
gh-hygraph-reference-marketing-website,1,,retired,archived-recoverably,False,
gh-hynek-svcs,1,,retired,archived-recoverably,False,
gh-hyperdxio-hyperdx,1,,retired,archived-recoverably,False,
gh-iamkun-tower-game,1,,retired,archived-recoverably,False,
gh-idun-group-idun-agent-platform,1,,retired,archived-recoverably,False,
gh-illacloud-illa-builder,1,,retired,archived-recoverably,False,
gh-instill-ai-instill-core,1,,retired,archived-recoverably,False,
gh-interactions-py-interactions-py,1,,retired,archived-recoverably,False,
gh-jaebradley-basketball-reference-web-scraper,1,,retired,archived-recoverably,False,
gh-jannchie-anichart-js,1,,retired,archived-recoverably,False,
gh-jannchie-historical-ranking-data-visualization-based-on-d3-js,1,,retired,archived-recoverably,False,
gh-jcodesmore-ai-website-cloner-template,1,,retired,archived-recoverably,False,
gh-jessedobbelaere-tailwindcss-sketch-kit,1,,retired,archived-recoverably,False,
gh-jkytoela-next-startd,1,,retired,archived-recoverably,False,
gh-joshuac215-agent-service-toolkit,1,,retired,archived-recoverably,False,
gh-just-some-bots-musicbot,1,,retired,archived-recoverably,False,
gh-khoj-ai-khoj,1,,retired,archived-recoverably,False,
gh-kkrypt0nn-python-discord-bot-template,1,,retired,archived-recoverably,False,
gh-kriasoft-react-starter-kit,1,,retired,archived-recoverably,False,
gh-kunalkapadia-express-mongoose-es6-rest-api,1,,retired,archived-recoverably,False,
gh-kwhitley-apicache,1,,retired,archived-recoverably,False,
gh-langchain-ai-deepagents,1,,retired,archived-recoverably,False,
gh-langchain-ai-langchain,1,,retired,archived-recoverably,False,
gh-langchain-ai-langchainjs,1,,retired,archived-recoverably,False,
gh-langchain-ai-langgraph,1,,retired,archived-recoverably,False,
gh-langgenius-dify,1,,retired,archived-recoverably,False,
gh-launch-ui-launch-ui,1,,retired,archived-recoverably,False,
gh-liyupi-ai-guide,1,,retired,archived-recoverably,False,
gh-ljvmiranda921-sprites-as-a-service,1,,retired,archived-recoverably,False,
gh-lsdefine-genericagent,1,,retired,archived-recoverably,False,
gh-lukasmasuch-best-of-python,1,,retired,archived-recoverably,False,
gh-magicuidesign-magicui,1,,retired,archived-recoverably,False,
gh-maitraysuthar-rest-api-nodejs-mongodb,1,,retired,archived-recoverably,False,
gh-mantinedev-mantine,1,,retired,archived-recoverably,False,
